"","zone","zmax","x","y","dead","mort_year","tmax","ppt","pptn","tmaxn","aws","elevation","slope","aspect","cover","vpdmax"
"76519",76519,9,297237.9,4101686,0,"Live",19.97881,768.4939,777.9512,19.03667,23.15,1363.91,10.47574,230.9989,0.0307,24.33751
"491343",182309,22.96997,322606.8,4090661,1,"2016",17.00902,850.2277,858.5765,15.66139,10.65,1816.459,49.25206,217.4818,0.81,19.28292
"1340589",1031556,29,316469.5,4097271,1,"2016",14.82655,937.8588,944.0081,13.74554,1.96,2047.119,18.07689,58.62997,0.345,16.35406
"1509302",1200269,46.4,318188.4,4093201,1,"2016",15.15505,884.043,907.6024,12.46119,6.69,2284.192,15.29371,94.51516,0.5893,15.94104
"85293",85293,12,297879.6,4102362,0,"Live",20.6787,743.3008,777.9512,18.78336,23.15,1412.109,35.57397,155.0079,0.536,25.59901
"1427287",1118254,53.4,317119,4097749,0,"Live",14.82655,937.8588,944.0081,13.62567,4.18,2102.701,12.84408,308.2508,0.407,16.35406
"1052198",743164,33.1,326683.7,4099824,0,"Live",14.93835,865.7621,865.402,13.97795,7.35,2076.232,26.54963,289.9213,0.1707,17.25337
"279949",279949,40,301796.2,4099596,1,"2016",19.06112,792.6165,747.2855,20.83201,15.08,965.5282,12.49408,164.0658,0.3992913,22.16811
"1680039",1371006,26.8,319095.7,4101934,1,"2016",13.99849,922.5205,921.6675,12.14281,4.18,2322.789,12.2346,241.3591,0.6078,15.39049
"1460426",1151393,31.1,317559.2,4101962,0,"Live",13.99849,922.5205,921.6675,12.10129,3.44,2457.504,10.78843,123.9408,0.4136,15.39049
"893595",584561,24.3,325504.7,4091138,0,"Live",15.09834,871.5558,874.3379,13.72477,8.04,2141.475,17.14433,177.13,0.5228,16.89864
"892173",583139,21.9,325011.8,4091273,0,"Live",15.09834,871.5558,874.3379,14.08432,10.65,2076.123,9.983885,228.597,0.4001,16.89864
"369766",60732,37.31982,321277.2,4094545,0,"Live",15.68133,933.1343,858.5765,13.71997,9.01,2120.249,8.156207,213.1561,0.4933,17.55774
"1161459",852426,16,327624.1,4097923,0,"Live",12.45381,905.5087,904.7143,12.22204,7.41,2331.196,9.464072,82.62251,0.3888,13.5257
"32967",32967,36,296100,4101007,0,"Live",19.97881,768.4939,777.9512,19.19998,23.15,1366.891,13.27582,58.17021,0.7569,24.33751
"269866",269866,12,301349,4097715,0,"Live",20.98768,729.7087,NA,20.60555,19.63,1153.489,25.54554,74.48598,0.3999,26.20287
"1425751",1116718,25,317131.2,4097925,1,"2016",14.82655,937.8588,944.0081,13.62567,1.96,2123.69,15.92904,203.5522,0.4347,16.35406
"833359",524325,11.3,324950.2,4101685,1,"2016",14.93835,865.7621,865.402,12.26336,NA,2476.172,39.78859,299.3647,0.2651,17.25337
"1428508",1119475,36.7,317173.4,4097614,1,"2016",14.82655,937.8588,944.0081,13.62567,4.18,2125.591,18.88995,294.784,0.4558,16.35406
"693703",384669,32.26001,323824.3,4097129,0,"Live",15.33717,901.0924,901.6485,14.98977,1.96,1933.945,11.37284,210.7037,0.3015,17.56576
"211560",211560,24,300300,4098955,0,"Live",20.6787,743.3008,NA,20.29009,19.41,1113.093,17.96798,71.98993,0.676,25.59901
"627819",318785,45.35999,323251,4087683,1,"2016",17.78943,782.4005,800.6154,14.88565,6.25,1981.267,23.71388,201.7546,0.8946,20.02215
"575839",266805,22.79004,322655.8,4101490,1,"2016",13.61266,923.6433,921.5131,11.8189,8.16,2420.387,19.42897,136.1148,0.3464,14.89409
"72630",72630,14,297945.1,4100075,0,"Live",20.6787,743.3008,777.9512,19.99444,19.41,1258.884,25.72595,77.2989,0.3701,25.59901
"1391658",1082625,34.2,317142.8,4092378,0,"Live",15.15505,884.043,907.6024,12.15453,11.48,2420.203,15.74303,164.8602,0.6394,15.94104
"1588050",1279017,12.1,319021,4089596,0,"Live",15.15505,884.043,732.5934,15.11891,16.5,1897.083,41.23674,206.5532,0.3889,15.94104
"390489",81455,12.21997,321696.9,4096376,0,"Live",15.68133,933.1343,938.699,13.72857,9.01,2113.322,3.298323,261.3877,0.3716,17.55774
"227847",227847,11,300269.7,4099258,0,"Live",20.6787,743.3008,747.2855,20.29009,19.41,1130.054,16.21878,126.1492,0.3369,25.59901
"1135076",826043,43.7,327910,4093167,0,"Live",13.27461,872.2523,874.7095,11.75464,11.48,2461.577,5.834514,257.272,0.6807,14.26277
"1256428",947395,19.6,328124.9,4097305,0,"Live",12.45381,905.5087,904.7143,10.95064,8.16,2561.381,29.7019,75.93244,0.3216,13.5257
"1734411",1425378,30.6,320543.7,4093210,0,"Live",17.00902,850.2277,858.5765,13.96934,9.01,2061.976,7.418733,59.30553,0.5464,19.28292
"920973",611939,28.5,325138.8,4094182,1,"2016",15.33717,901.0924,874.3379,14.05119,1.96,2206.025,12.8354,226.2109,0.5312,17.56576
"1588153",1279120,35.2,319442.1,4089574,0,"Live",15.15505,884.043,732.5934,15.80813,16.5,1815.829,34.23499,153.6543,0.5917,15.94104
"1593101",1284068,33.3,319566.8,4090965,0,"Live",15.15505,884.043,907.6024,14.34826,6.25,2050.181,6.461565,161.0092,0.6452,15.94104
"689561",380527,18.27002,323128,4097976,0,"Live",15.68133,933.1343,938.699,13.92397,8.04,2090.126,30.46731,167.3827,0.6587,17.55774
"98653",98653,9,298394.7,4097599,0,"Live",22.06206,666.2054,NA,21.31021,19.41,928.7595,19.16667,342.7491,0.5114619,28.66058
"633606",324572,49.52991,323550.3,4088446,1,"2016",17.78943,782.4005,800.6154,13.93566,6.25,2020.865,20.222,70.32917,0.8121,20.02215
"43637",43637,17,296994.4,4103654,0,"Live",18.01753,817.1574,777.9512,17.96973,23.15,1572.415,6.154286,230.1749,0.223179,20.82574
"262559",262559,13,300899.9,4103538,0,"Live",18.54899,792.4807,747.2855,19.55161,19.41,1247.009,28.71468,148.8737,0.5529082,21.49939
"1429598",1120565,42.4,317099.5,4097480,1,"2016",14.82655,937.8588,944.0081,13.56853,4.18,2111.662,29.89676,53.56979,0.4743,16.35406
"1002538",693504,33.4,326561.6,4092456,0,"Live",15.09834,871.5558,874.3379,12.7326,6.95,2268.776,11.16413,297.4741,0.6622,16.89864
"1723042",1414009,44.4,320456.7,4092749,1,"2016",17.00902,850.2277,858.5765,14.37516,3.44,2105.997,13.33846,263.1544,0.452,19.28292
"1327973",1018940,10.4,316146.7,4096912,1,"2016",15.9467,878.2209,886.5621,13.64946,6.69,2126.789,14.07329,48.59423,0.3096,17.60162
"1093488",784454,12.7,327544.2,4089070,1,"2016",12.87107,866.9339,873.5233,10.67907,6.69,2557.155,18.85223,214.18,0.5859,13.23376
"274594",274594,14,301045.4,4098359,0,"Live",22.06206,666.2054,NA,20.60555,19.63,1158.329,5.968997,186.0656,0.5127,28.66058
"797940",488906,42.92004,324235.3,4093052,1,"2016",15.09834,871.5558,874.3379,14.73571,1.96,1922.85,3.649876,186.2898,0.5449,16.89864
"836449",527415,23.5,324893.4,4101084,0,"Live",14.93835,865.7621,865.402,13.30452,8.04,2273.261,23.22763,134.9228,0.4631,17.25337
"1796991",1487958,27,320898.8,4100464,0,"Live",13.61266,923.6433,921.5131,11.50709,3.16,2569.654,11.50728,177.712,0.5023,14.89409
"1554862",1245829,67.8,318040.5,4099420,0,"Live",13.99849,922.5205,921.6675,13.1594,4.18,2201.585,8.726825,301.3581,0.2545,15.39049
"1058486",749452,21.4,315781.7,4100254,1,"2016",14.76753,903.1405,910.4247,13.3734,1.96,2218.701,10.27004,218.86,0.1853,16.1867
"1705605",1396572,28.2,319813.6,4104894,0,"Live",11.83198,925.698,928.2033,10.56004,8.16,2768.154,14.42228,306.4545,0.3575,12.84181
"198817",198817,22,299973.1,4102371,0,"Live",20.6787,743.3008,747.2855,20.2163,19.63,1101.613,25.95233,57.77396,0.6183,25.59901
"1459793",1150760,17,317725.6,4100053,0,"Live",13.99849,922.5205,921.6675,13.26949,4.18,2201.293,20.14492,112.3431,0.667,15.39049
"1257200",948167,17.5,328097.6,4097134,0,"Live",12.45381,905.5087,904.7143,10.95064,8.16,2598.126,12.52665,206.0409,0.1747,13.5257
"194040",194040,18,299207.3,4102895,0,"Live",20.6787,743.3008,747.2855,19.75869,19.63,1215.124,15.58972,106.4028,0.5001,25.59901
"297159",297159,36,301515.8,4101292,1,"2016",19.06112,792.6165,747.2855,20.30171,6.03,1173.215,27.06687,261.76,0.51315,22.16811
